gruppe,fra_alder,til_alder,rate_snitt,rate_std,rate_min,rate_maks,antall_aar,stabil,merknad
personbiler,Under 4 år,4 - 7 år,1.4075258569285314,0.07854096695079577,1.2944785542085089,1.5400453106855803,12,True,"fireårs overgangsrate ved kohortsporing; måler netto endring per aldersgruppe, ikke ren overlevelse — bruktimport løfter den yngste overgangen over 1. Ingen drivstoffdeling i kilden. Overganger som krysser definisjonsbruddet i 2024 er utelatt"
personbiler,4 - 7 år,8 - 11 år,1.0066241028511158,0.02484681936126593,0.9507257978103156,1.0338960671508064,12,True,"fireårs overgangsrate ved kohortsporing; måler netto endring per aldersgruppe, ikke ren overlevelse — bruktimport løfter den yngste overgangen over 1. Ingen drivstoffdeling i kilden. Overganger som krysser definisjonsbruddet i 2024 er utelatt"
personbiler,8 - 11 år,12 - 15 år,0.9229308166811444,0.016661020897407976,0.8946242709656591,0.9407414785258241,12,True,"fireårs overgangsrate ved kohortsporing; måler netto endring per aldersgruppe, ikke ren overlevelse — bruktimport løfter den yngste overgangen over 1. Ingen drivstoffdeling i kilden. Overganger som krysser definisjonsbruddet i 2024 er utelatt"
personbiler,12 - 15 år,16 - 20 år,0.745797893189215,0.018170802820610083,0.7128853272489389,0.7764337103987223,12,True,"fireårs overgangsrate ved kohortsporing; måler netto endring per aldersgruppe, ikke ren overlevelse — bruktimport løfter den yngste overgangen over 1. Ingen drivstoffdeling i kilden. Overganger som krysser definisjonsbruddet i 2024 er utelatt"
personbiler,16 - 20 år,Over 20 år,0.7445980201714164,0.07212315667628269,0.6520556405541597,0.8940040031328866,12,True,"fireårs overgangsrate ved kohortsporing; måler netto endring per aldersgruppe, ikke ren overlevelse — bruktimport løfter den yngste overgangen over 1. Ingen drivstoffdeling i kilden. Overganger som krysser definisjonsbruddet i 2024 er utelatt"
varebiler,Under 4 år,4 - 7 år,1.2902355225803148,0.0635219520097773,1.1381251583067105,1.36725338558981,12,True,"fireårs overgangsrate ved kohortsporing; måler netto endring per aldersgruppe, ikke ren overlevelse — bruktimport løfter den yngste overgangen over 1. Ingen drivstoffdeling i kilden. Overganger som krysser definisjonsbruddet i 2024 er utelatt"
varebiler,4 - 7 år,8 - 11 år,0.917347588847412,0.012627436139919904,0.8990911309891308,0.9347388956866235,12,True,"fireårs overgangsrate ved kohortsporing; måler netto endring per aldersgruppe, ikke ren overlevelse — bruktimport løfter den yngste overgangen over 1. Ingen drivstoffdeling i kilden. Overganger som krysser definisjonsbruddet i 2024 er utelatt"
varebiler,8 - 11 år,12 - 15 år,0.7152130884140034,0.03687153261135634,0.6721657695928169,0.7902527897973127,12,True,"fireårs overgangsrate ved kohortsporing; måler netto endring per aldersgruppe, ikke ren overlevelse — bruktimport løfter den yngste overgangen over 1. Ingen drivstoffdeling i kilden. Overganger som krysser definisjonsbruddet i 2024 er utelatt"
varebiler,12 - 15 år,16 - 20 år,0.6449881081996311,0.03636455780876032,0.6007942963778171,0.7042211002966742,12,True,"fireårs overgangsrate ved kohortsporing; måler netto endring per aldersgruppe, ikke ren overlevelse — bruktimport løfter den yngste overgangen over 1. Ingen drivstoffdeling i kilden. Overganger som krysser definisjonsbruddet i 2024 er utelatt"
varebiler,16 - 20 år,Over 20 år,0.8589664427293234,0.14423909675714197,0.747486446525382,1.1912858660998937,12,False,"fireårs overgangsrate ved kohortsporing; måler netto endring per aldersgruppe, ikke ren overlevelse — bruktimport løfter den yngste overgangen over 1. Ingen drivstoffdeling i kilden. Overganger som krysser definisjonsbruddet i 2024 er utelatt"
