kontroll,periode,eb_elektrisitet_GWh,km_rene_elbiler_mill,km_ladbare_hybrider_mill,antatt_elbil_kwh_per_km,rest_til_hybrider_GWh,implisert_elandel_hybrid,merknad
utility_factor_identifikasjon,2016,277.77777777777777,1182.9,344.9,0.18,64.85577777777777,1.0446792593308494,En variasjon på ±20 prosent i antatt elbilintensitet spenner implisert elandel over hele det mulige intervallet og utenfor. Utility factor er derfor ikke identifiserbar fra disse dataene og må hentes eksternt
utility_factor_identifikasjon,2016,277.77777777777777,1182.9,344.9,0.2,41.19777777777773,0.5972423568828318,En variasjon på ±20 prosent i antatt elbilintensitet spenner implisert elandel over hele det mulige intervallet og utenfor. Utility factor er derfor ikke identifiserbar fra disse dataene og må hentes eksternt
utility_factor_identifikasjon,2016,277.77777777777777,1182.9,344.9,0.22,17.539777777777772,0.23115761851627312,En variasjon på ±20 prosent i antatt elbilintensitet spenner implisert elandel over hele det mulige intervallet og utenfor. Utility factor er derfor ikke identifiserbar fra disse dataene og må hentes eksternt
utility_factor_identifikasjon,2016,277.77777777777777,1182.9,344.9,0.24,-6.1182222222222435,,En variasjon på ±20 prosent i antatt elbilintensitet spenner implisert elandel over hele det mulige intervallet og utenfor. Utility factor er derfor ikke identifiserbar fra disse dataene og må hentes eksternt
utility_factor_identifikasjon,2017,416.66666666666663,1682.0,785.0,0.18,113.90666666666664,0.8061335220570888,En variasjon på ±20 prosent i antatt elbilintensitet spenner implisert elandel over hele det mulige intervallet og utenfor. Utility factor er derfor ikke identifiserbar fra disse dataene og må hentes eksternt
utility_factor_identifikasjon,2017,416.66666666666663,1682.0,785.0,0.2,80.2666666666666,0.5112526539278127,En variasjon på ±20 prosent i antatt elbilintensitet spenner implisert elandel over hele det mulige intervallet og utenfor. Utility factor er derfor ikke identifiserbar fra disse dataene og må hentes eksternt
utility_factor_identifikasjon,2017,416.66666666666663,1682.0,785.0,0.22,46.62666666666661,0.269986489094769,En variasjon på ±20 prosent i antatt elbilintensitet spenner implisert elandel over hele det mulige intervallet og utenfor. Utility factor er derfor ikke identifiserbar fra disse dataene og må hentes eksternt
utility_factor_identifikasjon,2017,416.66666666666663,1682.0,785.0,0.24,12.986666666666622,0.06893135173389928,En variasjon på ±20 prosent i antatt elbilintensitet spenner implisert elandel over hele det mulige intervallet og utenfor. Utility factor er derfor ikke identifiserbar fra disse dataene og må hentes eksternt
utility_factor_identifikasjon,2018,638.8888888888888,2449.8,1415.6999999999998,0.18,197.9248888888888,0.7767060224972681,En variasjon på ±20 prosent i antatt elbilintensitet spenner implisert elandel over hele det mulige intervallet og utenfor. Utility factor er derfor ikke identifiserbar fra disse dataene og må hentes eksternt
utility_factor_identifikasjon,2018,638.8888888888888,2449.8,1415.6999999999998,0.2,148.92888888888876,0.5259902835660407,En variasjon på ±20 prosent i antatt elbilintensitet spenner implisert elandel over hele det mulige intervallet og utenfor. Utility factor er derfor ikke identifiserbar fra disse dataene og må hentes eksternt
utility_factor_identifikasjon,2018,638.8888888888888,2449.8,1415.6999999999998,0.22,99.93288888888878,0.32085922444049136,En variasjon på ±20 prosent i antatt elbilintensitet spenner implisert elandel over hele det mulige intervallet og utenfor. Utility factor er derfor ikke identifiserbar fra disse dataene og må hentes eksternt
utility_factor_identifikasjon,2018,638.8888888888888,2449.8,1415.6999999999998,0.24,50.9368888888888,0.14991667516920018,En variasjon på ±20 prosent i antatt elbilintensitet spenner implisert elandel over hele det mulige intervallet og utenfor. Utility factor er derfor ikke identifiserbar fra disse dataene og må hentes eksternt
utility_factor_identifikasjon,2019,861.1111111111111,3399.8,1705.6000000000001,0.18,249.14711111111103,0.811532960415074,En variasjon på ±20 prosent i antatt elbilintensitet spenner implisert elandel over hele det mulige intervallet og utenfor. Utility factor er derfor ikke identifiserbar fra disse dataene og må hentes eksternt
utility_factor_identifikasjon,2019,861.1111111111111,3399.8,1705.6000000000001,0.2,181.15111111111105,0.5310480508651239,En variasjon på ±20 prosent i antatt elbilintensitet spenner implisert elandel over hele det mulige intervallet og utenfor. Utility factor er derfor ikke identifiserbar fra disse dataene og må hentes eksternt
utility_factor_identifikasjon,2019,861.1111111111111,3399.8,1705.6000000000001,0.22,113.15511111111107,0.3015603975969828,En variasjon på ±20 prosent i antatt elbilintensitet spenner implisert elandel over hele det mulige intervallet og utenfor. Utility factor er derfor ikke identifiserbar fra disse dataene og må hentes eksternt
utility_factor_identifikasjon,2019,861.1111111111111,3399.8,1705.6000000000001,0.24,45.15911111111109,0.11032068654019866,En variasjon på ±20 prosent i antatt elbilintensitet spenner implisert elandel over hele det mulige intervallet og utenfor. Utility factor er derfor ikke identifiserbar fra disse dataene og må hentes eksternt
utility_factor_identifikasjon,2020,1083.3333333333333,4306.0,2039.5,0.18,308.25333333333333,0.8396756648779203,En variasjon på ±20 prosent i antatt elbilintensitet spenner implisert elandel over hele det mulige intervallet og utenfor. Utility factor er derfor ikke identifiserbar fra disse dataene og må hentes eksternt
utility_factor_identifikasjon,2020,1083.3333333333333,4306.0,2039.5,0.2,222.1333333333332,0.5445779194246952,En variasjon på ±20 prosent i antatt elbilintensitet spenner implisert elandel over hele det mulige intervallet og utenfor. Utility factor er derfor ikke identifiserbar fra disse dataene og må hentes eksternt
utility_factor_identifikasjon,2020,1083.3333333333333,4306.0,2039.5,0.22,136.0133333333332,0.3031343095084205,En variasjon på ±20 prosent i antatt elbilintensitet spenner implisert elandel over hele det mulige intervallet og utenfor. Utility factor er derfor ikke identifiserbar fra disse dataene og må hentes eksternt
utility_factor_identifikasjon,2020,1083.3333333333333,4306.0,2039.5,0.24,49.8933333333332,0.10193130124485822,En variasjon på ±20 prosent i antatt elbilintensitet spenner implisert elandel over hele det mulige intervallet og utenfor. Utility factor er derfor ikke identifiserbar fra disse dataene og må hentes eksternt
utility_factor_identifikasjon,2021,1527.7777777777776,6128.0,2583.1,0.18,424.73777777777764,0.9134970852803429,En variasjon på ±20 prosent i antatt elbilintensitet spenner implisert elandel over hele det mulige intervallet og utenfor. Utility factor er derfor ikke identifiserbar fra disse dataene og må hentes eksternt
utility_factor_identifikasjon,2021,1527.7777777777776,6128.0,2583.1,0.2,302.17777777777746,0.5849130459095224,En variasjon på ±20 prosent i antatt elbilintensitet spenner implisert elandel over hele det mulige intervallet og utenfor. Utility factor er derfor ikke identifiserbar fra disse dataene og må hentes eksternt
utility_factor_identifikasjon,2021,1527.7777777777776,6128.0,2583.1,0.22,179.61777777777752,0.31607155915157886,En variasjon på ±20 prosent i antatt elbilintensitet spenner implisert elandel over hele det mulige intervallet og utenfor. Utility factor er derfor ikke identifiserbar fra disse dataene og må hentes eksternt
utility_factor_identifikasjon,2021,1527.7777777777776,6128.0,2583.1,0.24,57.057777777777574,0.09203698685329252,En variasjon på ±20 prosent i antatt elbilintensitet spenner implisert elandel over hele det mulige intervallet og utenfor. Utility factor er derfor ikke identifiserbar fra disse dataene og må hentes eksternt
utility_factor_identifikasjon,2022,2000.0,8242.3,2908.4,0.18,516.3860000000002,0.986388086615016,En variasjon på ±20 prosent i antatt elbilintensitet spenner implisert elandel over hele det mulige intervallet og utenfor. Utility factor er derfor ikke identifiserbar fra disse dataene og må hentes eksternt
